id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
207703,tt2802144,4.503789,81000000,403802136,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,http://www.kingsmanmovie.com/,Matthew Vaughn,Manners maketh man.,spy|great britain|secret organization|secret agent|marvel comic,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,130,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,1/24/15,3833,7.6,2015,74519967.2112144,371497801.660967
264644,tt3170832,3.557846,6000000,35401758,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,http://www.roomthemovie.com,Lenny Abrahamson,Love knows no boundaries,based on novel|carpet|isolation|imprisonment|grandparents,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,117,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,10/16/15,1520,8,2015,5519997.57120106,32569603.0293746
300792,tt1618448,0.584363,0,0,Racing Extinction,Elon Musk|Jane Goodall|Louie Psihoyos|Leilani Munter|Charles Hambleton,http://www.racingextinction.com,Louie Psihoyos,It's better to light one candle than curse the darkness.,animal species|earth|scientist|globe|activist,An unlikely team of activists and innovators hatches a bold mission to save endangered species.,90,Adventure|Documentary,,1/24/15,36,7.8,2015,0,0
359305,tt4271918,0.309811,0,0,An Inspector Calls,David Thewlis|Miranda Richardson|Ken Stott|Sophie Rundle|Kyle Soller,http://www.dramarepublic.com/productions/an-inspector-calls/,Aisling Walsh,,woman director,A mysterious Inspector investigates the wealthy Birling family and their dinner guests following the suicide of a young woman.,86,Drama|Thriller|Mystery,BBC,9/13/15,16,7.8,2015,0,0
367326,tt5184298,0.208491,0,0,Cosmic Scrat-tastrophe,Chris Wedge|Ray Romano|John Leguizamo|Denis Leary,,Mike Thurmeier|Galen T. Chu,,,Scrat struggles once again to protect his nut.,5,Science Fiction|Comedy|Animation|Family,Twentieth Century Fox Film Corporation|Blue Sky Studios,11/6/15,33,7.7,2015,0,0
321109,tt4393514,0.201696,0,0,Bitter Lake,,,Adam Curtis,,manipulation|politics|war|control|fear,An experimental documentary that explores Saudi Arabia's relationship with the U.S. and the role this has played in the war in Afghanistan.,135,Documentary,BBC,1/24/15,19,7.8,2015,0,0
339065,tt3162938,0.137772,0,0,The True Cost,Vandana Shiva|Stella McCartney,http://truecostmovie.com,Andrew Morgan,Who Pays the Price for Our Clothing?,factory worker|textile industry|documentary|economics|fashion,Film from Andrew Morgan.  The True Cost is a documentary film exploring the impact of fashion on people and the planet.,92,Documentary,,5/29/15,39,7.6,2015,0,0
303867,tt4171032,0.032678,0,0,World of Tomorrow,Julia Pott|Winona Mae,http://bitterfilms.com,Don Hertzfeldt,,,A little girl is contacted by a mysterious woman.,17,Animation|Comedy|Science Fiction,Bitter Films,3/31/15,47,8.2,2015,0,0
157336,tt0816692,24.949134,165000000,621752480,Interstellar,Matthew McConaughey|Jessica Chastain|Anne Hathaway|Michael Caine|Casey Affleck,http://www.interstellarmovie.net/,Christopher Nolan,Mankind was born on Earth. It was never meant to die here.,saving the world|artificial intelligence|father-son relationship|single parent|nasa,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,169,Adventure|Drama|Science Fiction,Paramount Pictures|Legendary Pictures|Warner Bros.|Syncopy|Lynda Obst Productions,11/5/14,6498,8,2014,151980023.37729,572690645.122961
266856,tt2980516,3.170271,15000000,121201940,The Theory of Everything,Eddie Redmayne|Felicity Jones|Harry Lloyd|David Thewlis|Emily Watson,,James Marsh,His Mind Changed Our World. Her Love Changed His.,biography|physicist|based on memoir|stephen hawking,A look at the relationship between the famous physicist Stephen Hawking and his wife.,123,Drama|Romance,Working Title Films,11/26/14,1960,7.8,2014,13816365.7615718,111638022.270139
